ERS474608	HGDP00889
ERS474609	HGDP00890
ERS474610	HGDP00891
ERS474611	HGDP00892
ERS474612	HGDP00893
ERS474613	HGDP00894
ERS474614	HGDP00895
ERS474615	HGDP00896
ERS474616	HGDP00897
ERS474617	HGDP00898
ERS474618	HGDP00899
ERS474619	HGDP00900
ERS474620	HGDP00901
ERS474621	HGDP00902
ERS474623	HGDP00511
ERS474624	HGDP00512
ERS474625	HGDP00513
ERS474626	HGDP00514
ERS474627	HGDP00515
ERS474628	HGDP00516
ERS474629	HGDP00517
ERS474630	HGDP00518
ERS474631	HGDP00519
ERS474632	HGDP00520
ERS474634	HGDP00522
ERS474635	HGDP00523
ERS474636	HGDP00524
ERS474637	HGDP00525
ERS474639	HGDP00527
ERS474640	HGDP00528
ERS474641	HGDP00529
ERS474643	HGDP00531
ERS474645	HGDP00534
ERS474646	HGDP00535
ERS474647	HGDP00536
ERS474648	HGDP00537
ERS474649	HGDP00538
ERS474650	HGDP00539
ERS474651	HGDP01357
ERS474652	HGDP01358
ERS474653	HGDP01359
ERS474654	HGDP01360
ERS474655	HGDP01361
ERS474656	HGDP01362
ERS474657	HGDP01363
ERS474660	HGDP01366
ERS474661	HGDP01367
ERS474662	HGDP01368
ERS474663	HGDP01369
ERS474664	HGDP01370
ERS474665	HGDP01371
ERS474666	HGDP01372
ERS474667	HGDP01373
ERS474668	HGDP01374
ERS474669	HGDP01375
ERS474670	HGDP01376
ERS474671	HGDP01377
ERS474672	HGDP01378
ERS474673	HGDP01379
ERS474674	HGDP01380
ERS474675	HGDP00794
ERS474676	HGDP00795
ERS474678	HGDP00797
ERS474680	HGDP00799
ERS474681	HGDP00800
ERS474682	HGDP00802
ERS474683	HGDP00803
ERS474684	HGDP00804
ERS474685	HGDP00805
ERS474686	HGDP00806
ERS474687	HGDP00807
ERS474688	HGDP00808
ERS474689	HGDP00810
ERS474691	HGDP01149
ERS474692	HGDP01151
ERS474693	HGDP01152
ERS474695	HGDP01155
ERS474696	HGDP01156
ERS474697	HGDP01157
ERS474698	HGDP01171
ERS474700	HGDP01173
ERS474701	HGDP01174
ERS474702	HGDP01177
ERS474703	HGDP01161
ERS474704	HGDP01162
ERS474706	HGDP01164
ERS474707	HGDP01166
ERS474708	HGDP01167
ERS474710	HGDP01169
ERS474712	HGDP00666
ERS474713	HGDP00667
ERS474714	HGDP00668
ERS474715	HGDP00669
ERS474716	HGDP00670
ERS474717	HGDP00671
ERS474718	HGDP00672
ERS474719	HGDP00673
ERS474720	HGDP00674
ERS474721	HGDP01062
ERS474722	HGDP01063
ERS474723	HGDP01064
ERS474724	HGDP01065
ERS474725	HGDP01066
ERS474726	HGDP01067
ERS474727	HGDP01068
ERS474728	HGDP01069
ERS474729	HGDP01070
ERS474730	HGDP01071
ERS474731	HGDP01072
ERS474732	HGDP01073
ERS474733	HGDP01074
ERS474734	HGDP01075
ERS474736	HGDP01077
ERS474739	HGDP00557
ERS474740	HGDP00558
ERS474741	HGDP00559
ERS474742	HGDP00560
ERS474743	HGDP00561
ERS474744	HGDP00562
ERS474745	HGDP00563
ERS474746	HGDP00564
ERS474747	HGDP00565
ERS474748	HGDP00566
ERS474749	HGDP00567
ERS474750	HGDP00568
ERS474752	HGDP00571
ERS474753	HGDP00572
ERS474754	HGDP00573
ERS474755	HGDP00574
ERS474756	HGDP00575
ERS474757	HGDP00576
ERS474758	HGDP00577
ERS474759	HGDP00578
ERS474760	HGDP00579
ERS474761	HGDP00580
ERS474762	HGDP00581
ERS474763	HGDP00582
ERS474764	HGDP00583
ERS474765	HGDP00584
ERS474766	HGDP00586
ERS474767	HGDP00587
ERS474768	HGDP00588
ERS474769	HGDP00590
ERS474770	HGDP00591
ERS474771	HGDP00594
ERS474772	HGDP00595
ERS474773	HGDP00598
ERS474774	HGDP00599
ERS474775	HGDP00600
ERS474776	HGDP00601
ERS474777	HGDP00602
ERS474778	HGDP00604
ERS474779	HGDP00606
ERS474780	HGDP00675
ERS474781	HGDP00676
ERS474782	HGDP00677
ERS474783	HGDP00678
ERS474784	HGDP00679
ERS474785	HGDP00680
ERS474786	HGDP00682
ERS474787	HGDP00683
ERS474788	HGDP00684
ERS474789	HGDP00685
ERS474790	HGDP00686
ERS474791	HGDP00687
ERS474792	HGDP00688
ERS474793	HGDP00689
ERS474795	HGDP00691
ERS474796	HGDP00692
ERS474797	HGDP00693
ERS474798	HGDP00694
ERS474799	HGDP00696
ERS474800	HGDP00697
ERS474801	HGDP00698
ERS474802	HGDP00699
ERS474803	HGDP00700
ERS474805	HGDP00723
ERS474806	HGDP00724
ERS474808	HGDP00726
ERS474809	HGDP00727
ERS474811	HGDP00730
ERS474812	HGDP00731
ERS474813	HGDP00732
ERS474814	HGDP00733
ERS474815	HGDP00734
ERS474816	HGDP00735
ERS474817	HGDP00736
ERS474819	HGDP00738
ERS474820	HGDP00739
ERS474821	HGDP00740
ERS474822	HGDP00741
ERS474823	HGDP00744
ERS474824	HGDP00745
ERS474825	HGDP00746
ERS474826	HGDP00607
ERS474827	HGDP00608
ERS474828	HGDP00609
ERS474829	HGDP00610
ERS474830	HGDP00611
ERS474831	HGDP00612
ERS474832	HGDP00613
ERS474833	HGDP00614
ERS474836	HGDP00618
ERS474837	HGDP00619
ERS474838	HGDP00620
ERS474839	HGDP00621
ERS474840	HGDP00622
ERS474841	HGDP00623
ERS474842	HGDP00624
ERS474844	HGDP00626
ERS474845	HGDP00627
ERS474847	HGDP00629
ERS474848	HGDP00630
ERS474850	HGDP00632
ERS474851	HGDP00634
ERS474852	HGDP00635
ERS474853	HGDP00636
ERS474854	HGDP00637
ERS474855	HGDP00638
ERS474856	HGDP00639
ERS474857	HGDP00640
ERS474858	HGDP00641
ERS474859	HGDP00642
ERS474860	HGDP00643
ERS474861	HGDP00644
ERS474862	HGDP00645
ERS474863	HGDP00646
ERS474864	HGDP00647
ERS474865	HGDP00648
ERS474866	HGDP00649
ERS474868	HGDP00651
ERS474869	HGDP00653
ERS474870	HGDP00654
ERS474871	HGDP00701
ERS474873	HGDP01254
ERS474874	HGDP01255
ERS474875	HGDP01256
ERS474876	HGDP01257
ERS474878	HGDP01259
ERS474879	HGDP01260
ERS474880	HGDP01261
ERS474883	HGDP01264
ERS474884	HGDP01265
ERS474885	HGDP01266
ERS474886	HGDP01267
ERS474887	HGDP01268
ERS474888	HGDP01269
ERS474889	HGDP01270
ERS474890	HGDP01271
ERS474891	HGDP01272
ERS474894	HGDP01275
ERS474895	HGDP01276
ERS474896	HGDP01277
ERS474898	HGDP01279
ERS474900	HGDP01282
ERS474901	HGDP00491
ERS474902	HGDP00655
ERS474905	HGDP00661
ERS474906	HGDP00662
ERS474907	HGDP00663
ERS474908	HGDP00664
ERS474909	HGDP00787
ERS474910	HGDP00788
ERS474911	HGDP01027
ERS474912	HGDP00540
ERS474913	HGDP00541
ERS474914	HGDP00542
ERS474915	HGDP00543
ERS474916	HGDP00544
ERS474917	HGDP00545
ERS474918	HGDP00546
ERS474919	HGDP00547
ERS474921	HGDP00549
ERS474922	HGDP00550
ERS474923	HGDP00551
ERS474925	HGDP00553
ERS474927	HGDP00555
ERS474928	HGDP00556
ERS474929	HGDP01037
ERS474931	HGDP01043
ERS474934	HGDP01050
ERS474935	HGDP01051
ERS474936	HGDP01053
ERS474937	HGDP01055
ERS474938	HGDP01056
ERS474939	HGDP01057
ERS474940	HGDP01058
ERS474941	HGDP01059
ERS474942	HGDP01060
ERS474943	HGDP00854
ERS474945	HGDP00856
ERS474947	HGDP00858
ERS474948	HGDP00859
ERS474949	HGDP00860
ERS474950	HGDP00861
ERS474951	HGDP00862
ERS474952	HGDP00863
ERS474953	HGDP00864
ERS474954	HGDP00865
ERS474955	HGDP00868
ERS474956	HGDP00869
ERS474957	HGDP00870
ERS474958	HGDP00871
ERS474959	HGDP00872
ERS474960	HGDP00873
ERS474961	HGDP00875
ERS474962	HGDP00876
ERS474963	HGDP00877
ERS474965	HGDP00703
ERS474966	HGDP00704
ERS474968	HGDP00708
ERS474969	HGDP00710
ERS474970	HGDP00970
ERS474971	HGDP00832
ERS474972	HGDP00837
ERS474973	HGDP00838
ERS474974	HGDP00843
ERS474975	HGDP00845
ERS474977	HGDP00849
ERS474979	HGDP00995
ERS474981	HGDP00999
ERS474982	HGDP01001
ERS474984	HGDP01006
ERS474985	HGDP01009
ERS474986	HGDP01010
ERS474988	HGDP01013
ERS474989	HGDP01014
ERS474992	HGDP01019
ERS474993	HGDP00981
ERS474994	HGDP01087
ERS474995	HGDP01092
ERS475011	HGDP00916
ERS475012	HGDP00919
ERS475014	HGDP00321
ERS475023	HGDP00823
ERS475033	HGDP00468
ERS475034	HGDP00983
ERS475036	HGDP01413
ERS475057	HGDP00490
ERS475066	HGDP01041
ERS813221	HGDP00454
ERS813222	HGDP00455
ERS813223	HGDP00625
ERS813224	HGDP00906
ERS813225	HGDP00909
ERS813226	HGDP00912
ERS813227	HGDP00913
ERS813229	HGDP01309
ERS813230	HGDP01339
